video_id,comments
4TlyzKBm5yw,"['AMONG US lol', '10 секунд))', ""So that is what will happen if you don't have a spacesuit and great short man :]"", 'So what if nasa sees a floating body in space. What well they do kurzgezat?.', 'Someone got kicked out among us who saw it \n\n👇', ""remember that if you're in space without a spacesuit the last thing you'll want is to take a deep breath beforehand"", 'What about gut bacteria', 'I saw amongus', 'It happened once to a man in artificial vacuum chamber on earth - his oxygen tube fell off. All he remember before fainting  - how saliva in his mouth started to boil.', 'Among us in the background']"
kblSnj0p6bE,"['Short answer:death', 'I live in the ecuatorial line 💀', 'lol sonic', 'Extinction of all life', 'That would just create the one piece world', 'Imagine someone exactly on the poles, feeling a slight push to make them rotate a bit', 'happy new year\n\n**goes to sleep**\n\n/tomorow\\\n\nhappy new year', 'Хммм... Kurgesagt смотрят Смешарики: Пин Код?', 'I know the answer to this one, we all fly into space', 'can anyone explain why do we keep moving when earth stops? even if inertia, we still have gravity to keep ourselves fixed...']"
FPKRFw2jrnU,"['Whys camel alone', 'I have this poster, it’s honestly a perfect addition to any room', 'HUMANS ARE ANIMALS???', 'Bro decided to put one black person in there as an animal 😭', 'YOOO I HAVE THAT POSTER IN MY SCHOOL CLASSROOM!!!', '666 be the devils phone numer for a reason. Insects. But... humans traditionally have never needed phone fir communication and God is as old if not older than humanity as are his children.', 'Hi', 'They make a perfect loop 😮', 'Bro the music!!!', '好多动物啊']"
9FppammO1zk,"['This video was made possible through a grant by Open Philanthropy.\nCheck out the biorisk career guide from 80,000 hours: \nhttps://80000hours.org/kurz-bio', 'Not in humans but, read about the fuck up of myxomatosis', ""Biotechnology ain't what so bad. Like all technology, it's in the wrong hands: cut-throat corporations don't really care when lots of people die from what they make."", 'Resident evil fans gonna have a field day with this', 'we need to stop experementing or else we will make the zombie apocalpse', 'Lets wait until the world becomes halo', 'Covid was made in a lab no surprise they reverse engineered it in a couple of weeks', 'Dying Light be like', 'my dads belt is still deadlier', ""Clearly these scientists haven't read The Maze runner lol""]"
8Ey3_9N089k,"['Shit dude. With this and all the crap AI gets up to, the apocalypse is gonna be crazy', 'Biotech Genisis', 'Not like Covid was an engineered virus or anything....', ""DR. GRANT SAID THAT'S A VERY BAD IDEA!"", 'Kurzgesagt never fail to give me anxiety over everything', ""Luckily, the most unstable existence is life. That's why the China virus has become so many variations."", 'Hear me out', 'P𝕣𝓸', ""I uh\nWasn't expecting mad scientists from sci-fi horror to become a reality in such a manner. Interesting. ((((;゜w゜)))"", 'Kurzgesagt be like: You will die. Everyone you love and will love will die. You cannot stop this.\nAlso Kurzgesagt: Funny birb in space go brrrrrrrrrr']"
_arb8Fu3LXo,"['Me and the voices have an equal amounts of friends!', 'Does someone know where I can become friends with duck?', 'As a Popular Duck i agree', 'Bro I’m more popular then my mates I have 800,000 views', ""Nah we just have our friend group and that's it"", 'I think I need to make a duck friend', 'yes.', 'Can someone explain me?', ""It's doesn't matter if you have only a few friends what's matter most is that the friends you have are your good friends 😊😊😊😊😊"", 'Me being the popular one...']"
XFM4tCakAXY,"['but what if, and hear me out, we *dont* make it twice as large', 'If your further from the center you wouldnt feel gravity as much though right?', 'Was that a digglet?', 'Among us', 'Bro thought he could sneak in among us', 'This is why we can thank God for creating the perfect environment for us to live in. Love Jesus like he loves you. Do not forget all the people that care about you and have a good day', ""I’m already short…and my mom tells me I’m just big boned. So, I guess I'm already ready for this change of the planet’s size."", ""so we'd all be midgets"", ""Ok some body else found the amongus in the top but I'm not copying alright (I found it too"", 'Size matters💀']"
uoJwt9l-XhQ,"['Sources & further reading: https://sites.google.com/view/sources...\nThis video was partially financed by Gates Ventures. \nIf you want to support this channel and get something nice in return check out our shop: \nhttps://kgs.link/shop-178', 'I lost my father for cancer...\nI hope the science will win this battle', 'Shit like that being able to happen at random is scary. Hate the thought of it.', 'Dang, this video not only explains cancer very clearly, but it also makes a very positive and high hope at the end of the video like not too far in the future cancer is no more.', 'Just saying, the way it’s said that there are more better ways to fight cancer, that’s for adults. Childhood cancer treatments have not changed barely at all within the last 30 year. So can we make another effort?', 'Cancer is so easy to treat, just take some apricot seeds. And before you say that would kill you, if that were true I would be dead. If you want to be dead take those poisonous cancer treatments', 'To think i most defiantly had  cancer cells in my body this week but the problem solved itself is scary.', 'I don’t know why but I was almost rooting for the tumor before it became cancer. !!Because of the example!!', 'سبحان الله fasting prevents cancer', 'A parallel with drug economy would have been a better fit.']"
BNvL_uZhTsY,"['Can u make a video about this', 'Why?, well, uh, because.', ""So we're the aliens who'll take over the universe. We'll also have conspiracy theories about us."", ""But there can be many different life forms in some unknown parts of universe that require completely different conditions from the life forms we know... The problem is... We only consider and compare everything with the knowledge we have... We don't think that if something exists like this then something else can also exist... I mean after all it's Nature and it can do anything"", ""Doesn't that contradicts the video in which the universe has a period in which everywhere is basically perfect for life ?"", 'Quite literally because we can', 'So we might be one of the first? Talk about pressure. Hope we don’t screw it up', 'Which software you use to animate', 'Enough time had to pass for sufficient amounts of heavy elements to be created first as well.', 'Religion has entered the chat']"
V4Z8EdiJxgk,"['Go ‘beyond the nutshell’ at https://brilliant.org/nutshell/ and dive deeper into these topics and more with a free 30-day trial!\nThis video was sponsored by Brilliant. Thanks a lot for the support!', 'What if all Black holes sneezed at the same time…Lol The Big Bang from tiny grains of Darkness,,,,', 'Thanos- “I will now become: quasar, the most powerful thing in the universe!!”', ""It's crazy how I watch this on my free time but if I was assigned to watch this I'd be bored"", 'You really think people will be alive for the galaxy merger?😅', 'I just LOVE the detail of Steve saying ""This is what a Quasar is"" when the background music says it.', '1:22 anyone notice the one piece fruit?', ""Galaxies don't do a good job of preserving their history? Then what's with all the fucking ludicrous ass scientific predictions and claims and other bullshit being made regarding our history and Future? Apparently they're just theories pulled out of thin air? Wouldn't surprise me I'm just very confused because this whole video plays like one giant contradiction"", ""Okay so these quasars just turn off? That's the end finale? No fucking cool show or colors or lights? They just fucking turn off like okay bye? I don't believe it"", 'An excretion disc? Disgusting']"
